Tranc_YearMonth,town,flat_type,block,street_name,storey_range,floor_area_sqm,flat_model,lease_commence_date,resale_price,floor_area_sqft,price_per_sqft
2016-04,JURONG WEST,3 ROOM,208,BOON LAY PL,07 TO 09,65.0,Improved,1976,245000.0,699.6535,350.1733358012216
2016-04,JURONG WEST,3 ROOM,208,BOON LAY PL,01 TO 03,65.0,Improved,1976,260000.0,699.6535,371.6125196257862
2016-04,MARINE PARADE,3 ROOM,67,MARINE DR,01 TO 03,65.0,Improved,1976,405000.0,699.6535,578.8579632632438
2016-04,QUEENSTOWN,3 ROOM,2,GHIM MOH RD,07 TO 09,65.0,Improved,1976,360000.0,699.6535,514.5404117895501
2016-04,QUEENSTOWN,3 ROOM,6,GHIM MOH RD,10 TO 12,65.0,Improved,1976,382000.0,699.6535,545.9845480655782
2016-05,ANG MO KIO,3 ROOM,214,ANG MO KIO AVE 3,04 TO 06,67.0,New Generation,1976,280000.0,721.1813,388.25188617619455
2016-05,ANG MO KIO,3 ROOM,214,ANG MO KIO AVE 3,04 TO 06,67.0,New Generation,1976,338000.0,721.1813,468.67549116983486
2016-05,BEDOK,3 ROOM,4,BEDOK STH AVE 1,07 TO 09,65.0,Improved,1976,288000.0,699.6535,411.6323294316401
2016-05,BEDOK,3 ROOM,2,BEDOK STH AVE 1,07 TO 09,65.0,Improved,1976,290000.0,699.6535,414.49088727491534
2016-05,BEDOK,3 ROOM,2,BEDOK STH AVE 1,04 TO 06,65.0,Improved,1976,295000.0,699.6535,421.6372818831036
2016-05,BEDOK,3 ROOM,4,BEDOK STH AVE 1,04 TO 06,65.0,Improved,1976,295000.0,699.6535,421.6372818831036
2016-05,BEDOK,3 ROOM,2,BEDOK STH AVE 1,04 TO 06,65.0,Improved,1976,308000.0,699.6535,440.2179078643929
2016-05,BEDOK,4 ROOM,7,BEDOK STH AVE 2,10 TO 12,82.0,Improved,1976,352000.0,882.6397999999999,398.80367959840476
2016-05,BEDOK,4 ROOM,6,BEDOK STH AVE 2,04 TO 06,82.0,Improved,1976,358000.0,882.6397999999999,405.60146959155935
2016-05,BUKIT MERAH,3 ROOM,42,TELOK BLANGAH RISE,10 TO 12,59.0,Improved,1976,290000.0,635.0701,456.6425029299915
2016-05,BUKIT MERAH,3 ROOM,33,TELOK BLANGAH WAY,10 TO 12,59.0,Improved,1976,310000.0,635.0701,488.13508933895645
2016-05,BUKIT MERAH,3 ROOM,44,TELOK BLANGAH DR,01 TO 03,79.0,Improved,1976,330000.0,850.3480999999999,388.0763654319919
2016-05,BUKIT MERAH,3 ROOM,63,TELOK BLANGAH HTS,04 TO 06,73.0,New Generation,1976,365000.0,785.7647,464.51564953223277
2016-05,BUKIT MERAH,3 ROOM,63,TELOK BLANGAH HTS,04 TO 06,88.0,New Generation,1976,430000.0,947.2231999999999,453.9584756792275
2016-05,BUKIT MERAH,4 ROOM,59,TELOK BLANGAH HTS,13 TO 15,91.0,New Generation,1976,518000.0,979.5149,528.8332010059265
2016-05,BUKIT MERAH,4 ROOM,129,KIM TIAN RD,07 TO 09,88.0,Improved,1976,568000.0,947.2231999999999,599.6474748507005
2016-05,BUKIT MERAH,5 ROOM,48,TELOK BLANGAH DR,04 TO 06,123.0,Standard,1976,638000.0,1323.9596999999999,481.88777951473907
2016-05,BUKIT MERAH,5 ROOM,113,DEPOT RD,22 TO 24,114.0,Standard,1976,740000.0,1227.0846,603.0554046558811
2016-05,GEYLANG,4 ROOM,8,HAIG RD,10 TO 12,92.0,New Generation,1976,568000.0,990.2787999999999,573.5758455093656
2016-05,JURONG WEST,3 ROOM,208,BOON LAY PL,07 TO 09,65.0,Improved,1976,260000.0,699.6535,371.6125196257862
2016-05,QUEENSTOWN,3 ROOM,4,GHIM MOH RD,13 TO 15,65.0,Improved,1976,405000.0,699.6535,578.8579632632438
2016-05,TOA PAYOH,3 ROOM,235,LOR 8 TOA PAYOH,01 TO 03,65.0,Improved,1976,262000.0,699.6535,374.47107746906147
2016-05,TOA PAYOH,4 ROOM,222,LOR 8 TOA PAYOH,01 TO 03,82.0,Improved,1976,375000.0,882.6397999999999,424.86187457216414
2016-05,WOODLANDS,4 ROOM,8,MARSILING DR,04 TO 06,88.0,Improved,1976,278000.0,947.2231999999999,293.4894331135471
2016-05,WOODLANDS,4 ROOM,7,MARSILING DR,10 TO 12,90.0,Improved,1976,285000.0,968.751,294.1932447037474
2016-06,BEDOK,3 ROOM,4,BEDOK STH AVE 1,07 TO 09,65.0,Improved,1976,295000.0,699.6535,421.6372818831036
2016-06,BEDOK,3 ROOM,4,BEDOK STH AVE 1,07 TO 09,65.0,Improved,1976,298000.0,699.6535,425.92511864801645
2016-06,BEDOK,3 ROOM,1,BEDOK STH AVE 1,10 TO 12,59.0,Improved,1976,308000.0,635.0701,484.98583069805994
2016-06,BEDOK,3 ROOM,4,BEDOK STH AVE 1,13 TO 15,65.0,Improved,1976,310000.0,699.6535,443.07646570766815
2016-06,BUKIT MERAH,3 ROOM,42,TELOK BLANGAH RISE,07 TO 09,59.0,Improved,1976,300000.0,635.0701,472.388796134474
2016-06,BUKIT MERAH,3 ROOM,42,TELOK BLANGAH RISE,04 TO 06,70.0,Improved,1976,310000.0,753.473,411.428146728549
2016-06,BUKIT MERAH,3 ROOM,61,TELOK BLANGAH HTS,04 TO 06,67.0,New Generation,1976,342000.0,721.1813,474.22194668663764
2016-06,BUKIT MERAH,3 ROOM,131,JLN BT MERAH,07 TO 09,65.0,Improved,1976,363000.0,699.6535,518.828248554463
2016-06,BUKIT MERAH,3 ROOM,60,TELOK BLANGAH HTS,07 TO 09,67.0,New Generation,1976,363000.0,721.1813,503.34083814985223
2016-06,BUKIT MERAH,3 ROOM,61,TELOK BLANGAH HTS,07 TO 09,67.0,New Generation,1976,365000.0,721.1813,506.1140659082536
2016-06,BUKIT MERAH,4 ROOM,58,TELOK BLANGAH HTS,01 TO 03,91.0,New Generation,1976,480000.0,979.5149,490.0384874186191
2016-06,BUKIT MERAH,4 ROOM,57,TELOK BLANGAH HTS,07 TO 09,91.0,New Generation,1976,535000.0,979.5149,546.1887307686693
2016-06,BUKIT MERAH,5 ROOM,114,DEPOT RD,10 TO 12,119.0,Standard,1976,655000.0,1280.9041,511.35756377077723
2016-06,BUKIT TIMAH,3 ROOM,8,EMPRESS RD,01 TO 03,65.0,Improved,1976,395000.0,699.6535,564.5651740468675
2016-06,JURONG WEST,3 ROOM,211,BOON LAY PL,01 TO 03,65.0,Improved,1976,240000.0,699.6535,343.0269411930334
2016-06,JURONG WEST,3 ROOM,211,BOON LAY PL,13 TO 15,74.0,Improved,1976,300000.0,796.5286,376.6343104315401
2016-06,JURONG WEST,5 ROOM,198,BOON LAY DR,13 TO 15,121.0,Standard,1976,450000.0,1302.4319,345.5075079165367
2016-06,KALLANG/WHAMPOA,4 ROOM,9,GLOUCESTER RD,10 TO 12,91.0,New Generation,1976,540000.0,979.5149,551.2932983459466
2016-06,MARINE PARADE,4 ROOM,62,MARINE DR,04 TO 06,87.0,Improved,1976,600000.0,936.4593,640.7112407341141
2016-06,QUEENSTOWN,3 ROOM,3,GHIM MOH RD,01 TO 03,65.0,Improved,1976,330000.0,699.6535,471.6620441404209
2016-06,QUEENSTOWN,3 ROOM,2,GHIM MOH RD,13 TO 15,65.0,Improved,1976,385000.0,699.6535,550.2723848304911
2016-06,QUEENSTOWN,3 ROOM,1,GHIM MOH RD,07 TO 09,76.0,Improved,1976,390000.0,818.0563999999999,476.7397455725547
2016-06,QUEENSTOWN,3 ROOM,6,GHIM MOH RD,10 TO 12,65.0,Improved,1976,392000.0,699.6535,560.2773372819546
2016-06,TOA PAYOH,3 ROOM,234,LOR 8 TOA PAYOH,04 TO 06,76.0,Improved,1976,315000.0,818.0563999999999,385.05902527014035
2016-06,TOA PAYOH,3 ROOM,232,LOR 8 TOA PAYOH,04 TO 06,65.0,Improved,1976,333000.0,699.6535,475.9498809053338
2016-06,TOA PAYOH,4 ROOM,227,LOR 8 TOA PAYOH,04 TO 06,82.0,Improved,1976,335000.0,882.6397999999999,379.54327461779997
2016-06,TOA PAYOH,4 ROOM,222,LOR 8 TOA PAYOH,04 TO 06,82.0,Improved,1976,360003.0,882.6397999999999,407.87079848427413
2016-06,WOODLANDS,3 ROOM,13,MARSILING LANE,01 TO 03,65.0,Improved,1976,250000.0,699.6535,357.3197304094098
2016-06,WOODLANDS,3 ROOM,13,MARSILING LANE,13 TO 15,65.0,Improved,1976,255000.0,699.6535,364.466125017598
2016-06,WOODLANDS,3 ROOM,12,MARSILING LANE,07 TO 09,65.0,Improved,1976,260000.0,699.6535,371.6125196257862
2016-06,WOODLANDS,4 ROOM,7,MARSILING DR,07 TO 09,88.0,Improved,1976,295000.0,947.2231999999999,311.43662866365605
2016-07,BEDOK,3 ROOM,4,BEDOK STH AVE 1,04 TO 06,65.0,Improved,1976,276000.0,699.6535,394.48098237198843
2016-07,BUKIT MERAH,3 ROOM,43,TELOK BLANGAH RISE,13 TO 15,59.0,Improved,1976,315000.0,635.0701,496.00823594119765
2016-07,BUKIT MERAH,3 ROOM,44,TELOK BLANGAH DR,07 TO 09,65.0,Improved,1976,350000.0,699.6535,500.2476225731737
2016-07,BUKIT MERAH,3 ROOM,44,TELOK BLANGAH DR,07 TO 09,76.0,Improved,1976,375000.0,818.0563999999999,458.4036015120718
2016-07,BUKIT MERAH,4 ROOM,56,TELOK BLANGAH HTS,07 TO 09,91.0,New Generation,1976,542000.0,979.5149,553.3351253768575
2016-07,GEYLANG,4 ROOM,11,HAIG RD,07 TO 09,92.0,New Generation,1976,530000.0,990.2787999999999,535.2028135914856
2016-07,GEYLANG,4 ROOM,5,HAIG RD,04 TO 06,92.0,New Generation,1976,560000.0,990.2787999999999,565.4973124740225
2016-07,GEYLANG,4 ROOM,8,HAIG RD,07 TO 09,92.0,New Generation,1976,580000.0,990.2787999999999,585.6936450623805
2016-07,JURONG WEST,3 ROOM,207,BOON LAY PL,04 TO 06,65.0,Improved,1976,250000.0,699.6535,357.3197304094098
2016-07,JURONG WEST,3 ROOM,207,BOON LAY PL,04 TO 06,74.0,Improved,1976,285000.0,796.5286,357.8025949099631
2016-07,MARINE PARADE,3 ROOM,67,MARINE DR,07 TO 09,65.0,Improved,1976,420000.0,699.6535,600.2971470878084
2016-07,MARINE PARADE,4 ROOM,76,MARINE DR,07 TO 09,82.0,Improved,1976,575000.0,882.6397999999999,651.454874343985
2016-07,QUEENSTOWN,3 ROOM,2,GHIM MOH RD,04 TO 06,65.0,Improved,1976,326000.0,699.6535,465.9449284538704
2016-07,QUEENSTOWN,3 ROOM,1,GHIM MOH RD,13 TO 15,65.0,Improved,1976,380888.0,699.6535,544.3951899047171
2016-07,TOA PAYOH,4 ROOM,220,LOR 8 TOA PAYOH,07 TO 09,82.0,Improved,1976,340000.0,882.6397999999999,385.20809961209545
2016-07,TOA PAYOH,4 ROOM,222,LOR 8 TOA PAYOH,13 TO 15,82.0,Improved,1976,360000.0,882.6397999999999,407.86739958927757
2016-07,TOA PAYOH,5 ROOM,230,LOR 8 TOA PAYOH,04 TO 06,117.0,Standard,1976,573000.0,1259.3763,454.98712338798185
2016-07,WOODLANDS,3 ROOM,13,MARSILING LANE,04 TO 06,65.0,Improved,1976,260000.0,699.6535,371.6125196257862
2016-07,WOODLANDS,3 ROOM,15,MARSILING LANE,10 TO 12,65.0,Improved,1976,268000.0,699.6535,383.0467509988873
2016-07,WOODLANDS,3 ROOM,6,MARSILING DR,10 TO 12,76.0,Improved,1976,284000.0,818.0563999999999,347.1643275451424
2016-07,WOODLANDS,5 ROOM,10,MARSILING DR,04 TO 06,123.0,Standard,1976,380000.0,1323.9596999999999,287.0177997109731
2016-08,ANG MO KIO,3 ROOM,216,ANG MO KIO AVE 1,07 TO 09,73.0,New Generation,1976,308000.0,785.7647,391.9748494682951
2016-08,ANG MO KIO,3 ROOM,216,ANG MO KIO AVE 1,10 TO 12,73.0,New Generation,1976,318000.0,785.7647,404.7013056198631
2016-08,ANG MO KIO,3 ROOM,216,ANG MO KIO AVE 1,04 TO 06,73.0,New Generation,1976,325000.0,785.7647,413.6098249259607
2016-08,ANG MO KIO,4 ROOM,218,ANG MO KIO AVE 1,13 TO 15,82.0,New Generation,1976,390000.0,882.6397999999999,441.8563495550507
2016-08,BEDOK,3 ROOM,2,BEDOK STH AVE 1,10 TO 12,65.0,Improved,1976,280000.0,699.6535,400.19809805853896
2016-08,BEDOK,3 ROOM,18,BEDOK STH RD,07 TO 09,65.0,Improved,1976,280000.0,699.6535,400.19809805853896
2016-08,BEDOK,3 ROOM,4,BEDOK STH AVE 1,13 TO 15,73.0,Improved,1976,375000.0,785.7647,477.2421056838008
2016-08,BEDOK,3 ROOM,18,BEDOK STH RD,10 TO 12,73.0,Improved,1976,388000.0,785.7647,493.7864986808392
2016-08,BEDOK,4 ROOM,5,BEDOK STH AVE 2,13 TO 15,82.0,Improved,1976,400000.0,882.6397999999999,453.18599954364174
2016-08,BEDOK,4 ROOM,15,BEDOK STH RD,13 TO 15,88.0,Improved,1976,413000.0,947.2231999999999,436.0112801291185
2016-08,BEDOK,5 ROOM,20,BEDOK STH RD,22 TO 24,114.0,Standard,1976,720000.0,1227.0846,586.7566099354519
2016-08,BUKIT MERAH,3 ROOM,31,TELOK BLANGAH RISE,04 TO 06,59.0,Improved,1976,296000.0,635.0701,466.09027885268097
2016-08,BUKIT MERAH,3 ROOM,38,TELOK BLANGAH RISE,04 TO 06,60.0,Improved,1976,321888.0,645.834,498.40671132210446
2016-08,BUKIT MERAH,3 ROOM,62,TELOK BLANGAH HTS,01 TO 03,73.0,New Generation,1976,347000.0,785.7647,441.6080284594103
2016-08,BUKIT MERAH,3 ROOM,130,KIM TIAN RD,10 TO 12,65.0,Improved,1976,350000.0,699.6535,500.2476225731737
2016-08,BUKIT TIMAH,3 ROOM,8,EMPRESS RD,07 TO 09,65.0,Improved,1976,425000.0,699.6535,607.4435416959966
2016-08,GEYLANG,3 ROOM,3,HAIG RD,10 TO 12,65.0,Improved,1976,360000.0,699.6535,514.5404117895501
2016-08,JURONG WEST,3 ROOM,211,BOON LAY PL,07 TO 09,65.0,Improved,1976,260000.0,699.6535,371.6125196257862
2016-08,JURONG WEST,3 ROOM,208,BOON LAY PL,01 TO 03,65.0,Improved,1976,261000.0,699.6535,373.0417985474238
2016-08,JURONG WEST,5 ROOM,204,BOON LAY DR,07 TO 09,120.0,Standard,1976,430000.0,1291.668,332.9028821647668
2016-08,MARINE PARADE,3 ROOM,67,MARINE DR,13 TO 15,65.0,Improved,1976,380000.0,699.6535,543.1259902223029
2016-08,MARINE PARADE,4 ROOM,60,MARINE DR,04 TO 06,87.0,Improved,1976,545000.0,936.4593,581.9793770001537
2016-08,QUEENSTOWN,3 ROOM,5,GHIM MOH RD,04 TO 06,65.0,Improved,1976,333000.0,699.6535,475.9498809053338
2016-08,QUEENSTOWN,3 ROOM,21,DOVER CRES,04 TO 06,65.0,Improved,1976,358000.0,699.6535,511.6818539462748
2016-08,QUEENSTOWN,3 ROOM,3,GHIM MOH RD,13 TO 15,65.0,Improved,1976,380000.0,699.6535,543.1259902223029
2016-08,QUEENSTOWN,3 ROOM,5,GHIM MOH RD,07 TO 09,76.0,Improved,1976,460000.0,818.0563999999999,562.3084178548081
2016-08,QUEENSTOWN,5 ROOM,2,GHIM MOH RD,04 TO 06,150.0,Adjoined flat,1976,830000.0,1614.585,514.0639854823376
2016-08,TOA PAYOH,3 ROOM,232,LOR 8 TOA PAYOH,04 TO 06,65.0,Improved,1976,260000.0,699.6535,371.6125196257862
2016-08,TOA PAYOH,3 ROOM,231,LOR 8 TOA PAYOH,07 TO 09,65.0,Improved,1976,270000.0,699.6535,385.9053088421626
2016-08,TOA PAYOH,4 ROOM,227,LOR 8 TOA PAYOH,07 TO 09,82.0,Improved,1976,368000.0,882.6397999999999,416.9311195801504
2016-08,TOA PAYOH,4 ROOM,228,LOR 8 TOA PAYOH,07 TO 09,82.0,Improved,1976,370000.0,882.6397999999999,419.1970495778686
2016-08,TOA PAYOH,4 ROOM,222,LOR 8 TOA PAYOH,04 TO 06,82.0,Improved,1976,375000.0,882.6397999999999,424.86187457216414
2016-08,TOA PAYOH,5 ROOM,230,LOR 8 TOA PAYOH,07 TO 09,117.0,Standard,1976,546000.0,1259.3763,433.54793956341723
2016-09,ANG MO KIO,3 ROOM,214,ANG MO KIO AVE 3,04 TO 06,67.0,New Generation,1976,283000.0,721.1813,392.41172781379663
2016-09,ANG MO KIO,3 ROOM,215,ANG MO KIO AVE 1,10 TO 12,73.0,New Generation,1976,323000.0,785.7647,411.06453369564707
2016-09,BEDOK,3 ROOM,4,BEDOK STH AVE 1,04 TO 06,65.0,Improved,1976,288000.0,699.6535,411.6323294316401
2016-09,BEDOK,3 ROOM,2,BEDOK STH AVE 1,07 TO 09,65.0,Improved,1976,290000.0,699.6535,414.49088727491534
2016-09,BEDOK,3 ROOM,18,BEDOK STH RD,13 TO 15,65.0,Improved,1976,310000.0,699.6535,443.07646570766815
2016-09,BEDOK,4 ROOM,5,BEDOK STH AVE 2,13 TO 15,82.0,Improved,1976,385000.0,882.6397999999999,436.19152456075517
2016-09,BUKIT MERAH,2 ROOM,45,TELOK BLANGAH DR,13 TO 15,45.0,Improved,1976,271000.0,484.3755,559.4832934366003
2016-09,BUKIT MERAH,3 ROOM,28,TELOK BLANGAH RISE,10 TO 12,59.0,Improved,1976,300000.0,635.0701,472.388796134474
2016-09,BUKIT MERAH,3 ROOM,44,TELOK BLANGAH DR,07 TO 09,65.0,Improved,1976,310000.0,699.6535,443.07646570766815
2016-09,BUKIT MERAH,3 ROOM,44,TELOK BLANGAH DR,01 TO 03,65.0,Improved,1976,323000.0,699.6535,461.65709168895745
2016-09,BUKIT MERAH,3 ROOM,31,TELOK BLANGAH RISE,07 TO 09,59.0,Improved,1976,338000.0,635.0701,532.2247103115074
2016-09,BUKIT MERAH,3 ROOM,44,TELOK BLANGAH DR,04 TO 06,76.0,Improved,1976,372000.0,818.0563999999999,454.7363726999752
2016-09,BUKIT MERAH,4 ROOM,27,TELOK BLANGAH WAY,07 TO 09,82.0,Improved,1976,458000.0,882.6397999999999,518.8979694774698
